# Furry, yiff, therian, otherkin, quadrobics and animal-fetish sites
#
# One domain per line.  '?' at the start = optional (commented out in the default output).
# Text after '#' is a note.  Subdomains are blocked automatically (||domain^).

abdlmatch.com                     # ABDL dating
abdlstoryforum.info               # ABDL story forum
abdreams.com                      # Adult ABDL video site
adisc.org                         # ABDL support community forum
alt-h.net                         # Alt+H alterhuman organization
amorousgame.com                   # Furry dating-sim game with adult content
anotherwiki.org                   # AnOtherWiki otherkin encyclopedia
artofzoo.com                      # Bestiality video site
aryion.com                        # Eka's Portal vore community
bad-dragon.com                    # Fantasy/furry adult toy retailer
baddogbooks.com                   # Adult furry fiction publisher
baddragon.com                     # Bad Dragon alternate domain
barq.app                          # Barq alternate domain
barq.social                       # Barq furry social/dating app
beastforum.com                    # Defunct bestiality forum
beyondhumanity.net                # Beyond Humanity otherkin resource directory
bodyinflation.org                 # Body inflation community forum
collarspace.com                   # BDSM personals incl. petplay
coomer.st                         # coomer mirror domain
dailydiapers.com                  # ABDL community and stories
ddlgforum.com                     # DDLG forum
diapermates.com                   # ABDL dating
dreamhart.org                     # Dreamhart otherkin resource site
expansionfan.com                  # Expansion fetish comics
f-list.net                        # Adult furry/kink roleplay and chat (F-Chat)
facdn.net                         # Fur Affinity image CDN
fchan.us                          # Furry adult imageboard (FurChan)
ferzu.com                         # Furry social network and dating
fetlife.com                       # Kink social network incl. petplay/ABDL/furry groups
fromfiction.net                   # Fictionkin community
furfling.com                      # Furry dating site
furry.booru.org                   # Furry booru on booru.org network
furrymate.com                     # Furry dating site
furrymuck.com                     # FurryMUCK text roleplay, adult-heavy
furrynetwork.com                  # Furry art/social network
giantessworld.net                 # Giantess fiction archive
houseofchimeras.weebly.com        # House of Chimeras otherkin/therian resources
howlr.app                         # Furry hookup app (shut down 2022, replaced by Barq)
inflatechan.net                   # Inflation imageboard (intermittent)
kinmunity.com                     # Otherkin/therian community
littlespaceonline.com             # Littlespace/CGL community
macrophile.com                    # Macrophilia community site
metamorphose.org                  # Metamorphose TF fiction archive
