# Demons, satanism, occult, spellcasting and demon-themed adult media
#
# One domain per line.  '?' at the start = optional (commented out in the default output).
# Text after '#' is a note.  Subdomains are blocked automatically (||domain^).

666blacksun.com                         # Joy of Satan affiliated site
666blacksun.org                         # Joy of Satan affiliated site, alternate TLD
7witches.net                            # 7witches coven paid spell casting
afterschoolsatan.com                    # After School Satan Club (TST program aimed at schoolchildren)
ancient-forums.co                       # Joy of Satan forum alternate domain
ancient-forums.com                      # Joy of Satan official forum
ascendingflame.com                      # Temple of Ascending Flame (Asenath Mason) draconian/demonic magic
asenathmason.com                        # Asenath Mason author site, demonic grimoires
ashra.net                               # Ashra paid spell casting
assemblyoflightbearers.org              # Assembly of Light Bearers Luciferian org
becomealivinggod.com                    # E.A. Koetting demon-evocation courses and forum
black-magic-spells.com                  # black magic spells site
blackwitchcoven.com                     # black magic spells and ritual shop
californiaastrology.com                 # Calastrology paid spells and curses
chaosmatrix.org                         # chaos magic resource site
churchofazazel.org                      # Church of Azazel theistic Satanist group
churchofsatan.com                       # Church of Satan (LaVeyan) official site
churchofsatan.org                       # alternate/redirect domain for Church of Satan
darkbooks.org                           # occult/grimoire ebook library
davidmyatt.wordpress.com                # blog of the Order of Nine Angles founder
death-of-communism.com                  # Joy of Satan affiliated site
deliriumsrealm.com                      # demonology and mythology reference
demonicpedia.com                        # demon encyclopedia
demonolatry.org                         # OFS Demonolatry (S. Connolly) demon-worship community
demonology.fandom.com                   # demonology fandom wiki
dpjs.co.uk                              # Description, Philosophies and Justification of Satanism
dragonrouge.net                         # Dragon Rouge left-hand path order
esotericarchives.com                    # Twilit Grotto grimoire texts incl. Lesser Key of Solomon
esoterium.com                           # online ouija board and esoteric tools
evocationmagic.com                      # spirit evocation forum
exposingchristianity.com                # Joy of Satan affiliated site
firstchurchofsatan.com                  # First Church of Satan (John Allee)
firstsatanicchurch.com                  # First Satanic Church (Karla LaVey)
free-witchcraft-spells.com              # free witchcraft spells site
globalorderofsatan.com                  # Global Order of Satan (UK/EU TST splinter)
goetia.fandom.com                       # Goetia demons fandom wiki
greaterchurchoflucifer.org              # Greater Church of Lucifer
grimoar.cz                              # Grimoar occult text library
hazbinhotel.com                         # Hazbin Hotel official site
hellaverse.fandom.com                   # Hazbin/Helluva shared universe wiki
helluvaboss.com                         # Helluva Boss official site
hermetic.com                            # Hermetic Library, Crowley and grimoire texts
hermetics.org                           # Hermetics Resource Site occult downloads
josministries.prophpbb.com              # older Joy of Satan forum host
joyofsatan.com                          # Joy of Satan alternate domain
joyofsatan.org                          # Joy of Satan Ministries main site
kabbalahexposed.com                     # Joy of Satan affiliated site
luciferianapotheca.com                  # Luciferian Apotheca shop/publisher (Michael W. Ford)
magickaschool.com                       # online witchcraft school
mandragoramagika.com                    # witchcraft groups and courses
martinetpress.com                       # ONA-affiliated publisher
michaelwford.com                        # Michael W. Ford Luciferian author site
museumoftalkingboards.com               # Ouija history site with Web Ouija board
neoluciferianchurch.org                 # Neo-Luciferian Church
o9a.org                                 # Order of Nine Angles site
occult-world.com                        # occult encyclopedia incl. demons and grimoires
occult.live                             # occult wiki
occultforum.org                         # occult discussion forum
occultopedia.com                        # occult encyclopedia
omega9alpha.wordpress.com               # Order of Nine Angles blog
ordoluciferi.org                        # Ordo Luciferi Luciferian order
ouijaboard.us                           # online virtual ouija board
ouijia-board.netlify.app                # interactive spirit board web app
sacred-magick.com                       # occult library and forum
satanandsons.com                        # demonolatry ritual shop
satanandsuns.com                        # demonolatry ritual shop, alternate spelling
satanicinternational.net                # Satanic International Network social site
satanicreds.org                         # Satanic Reds organization
satanictemple.com                       # alternate domain associated with The Satanic Temple
satanisgod.org                          # Joy of Satan mirror site
satanslibrary.org                       # Joy of Satan document library
