# Bypass hardening: encrypted DNS, VPNs, proxies, Tor, alternative search engines
#
# One domain per line.  '?' at the start = optional (commented out in the default output).
# Text after '#' is a note.  Subdomains are blocked automatically (||domain^).

12ft.io                                 # 12ft paywall/proxy viewer
1clickvpn.net                           # 1clickVPN extension
1dot1dot1dot1.cloudflare-dns.com        # Cloudflare DoT hostname used in Android Private DNS [Blocked services toggle: Cloudflare]
1ft.io                                  # Paywall bypass proxy
4everproxy.com                          # 4everproxy
4get.ca                                 # 4get metasearch
adblock.doh.mullvad.net                 # Mullvad ad-blocking DoH
adguard-vpn.com                         # AdGuard VPN (would bypass AdGuard DNS)
ahadns.net                              # AhaDNS regional DoH/DoT hostnames (doh.la/nl/in/...)
airvpn.org                              # AirVPN
anchorfree.com                          # Hotspot Shield parent/backend
andisearch.com                          # Andi
anonymouse.org                          # Anonymouse
api.cloudflareclient.com                # WARP client API endpoint [Blocked services toggle: Cloudflare]
api.sec-tunnel.com                      # Opera VPN control API
api2.sec-tunnel.com                     # Opera VPN control API alt
appsverse.com                           # Photon browser developer
archive.fo                              # archive.today mirror; serves full snapshots of any page
archive.is                              # archive.today mirror; serves full snapshots of any page
archive.li                              # archive.today mirror; serves full snapshots of any page
archive.md                              # archive.today mirror; serves full snapshots of any page
archive.ph                              # archive.today mirror; serves full snapshots of any page
archive.today                           # archive.today mirror; serves full snapshots of any page
archive.vn                              # archive.today mirror; serves full snapshots of any page
astrill.com                             # Astrill
atlasvpn.com                            # Atlas VPN (free tier, merged into Nord)
azirevpn.com                            # AzireVPN
base.dns.mullvad.net                    # Mullvad filtered DoH
basic.rethinkdns.com                    # RethinkDNS DoH
betternet.co                            # Betternet (free)
bitmask.net                             # Bitmask VPN client
black.riseup.net                        # Riseup VPN API
blitz.ahadns.com                        # AhaDNS Blitz DoH
blockaway.net                           # BlockAway
blokada.org                             # Blokada (bundles VPN/DoH)
boomproxy.com                           # BoomProxy
brightvpn.com                           # Bright VPN (free, sells bandwidth)
browsec.com                             # Browsec VPN extension
browser.lol                             # Free cloud browser popular with students
browserling.com                         # Browserling online browser
cachedview.com                          # CachedView
cachedview.nl                           # CachedView mirror
cactusvpn.com                           # CactusVPN
cc.bingj.com                            # Bing cached-page viewer
chrome.cloudflare-dns.com               # Chrome's Cloudflare secure-DNS endpoint [Blocked services toggle: Cloudflare]
cloudflare-dns.com                      # Cloudflare 1.1.1.1 DoH root (covers all subdomains) [Blocked services toggle: Cloudflare]
cloudflare-gateway.com                  # Cloudflare Zero Trust DoH locations (*.cloudflare-gateway.com)
cloudflareclient.com                    # 1.1.1.1+WARP / Zero Trust client API root [Blocked services toggle: Cloudflare]
cloudmosa.com                           # Puffin developer/backend
controld.com                            # ControlD website/app config
croxy.net                               # CroxyProxy mirror
croxy.network                           # CroxyProxy mirror
croxy.org                               # CroxyProxy mirror
croxyproxy.com                          # CroxyProxy (most popular school bypass)
croxyproxy.net                          # CroxyProxy mirror
